NAME,NAMELSAD,wui_area,cdp_area,pct_wui_area
Fort Bidwell,Fort Bidwell CDP,3643543.6872756877,8299175,44
Fort Bragg,Fort Bragg city,4719801.460742473,7508182,63
Fort Dick,Fort Dick CDP,8319658.4210033165,8331464,100
Fort Hunter Liggett,Fort Hunter Liggett CDP,2157203.8564611943,7198561,30
Fort Irwin,Fort Irwin CDP,5160534.461024833,18040432,28.999999999999996
Fort Jones,Fort Jones city,1186472.6571706315,1559876,76
Fort Washington,Fort Washington CDP,235080.95424423512,321161,73
Fortuna,Fortuna city,11683310.094101457,13592673,86
Franklin,Franklin CDP,1361966.5419042907,5454315,25
Frazier Park,Frazier Park CDP,4189802.549439669,13509638,31
Freedom,Freedom CDP,2646696.7102881307,2936119,90
Fremont,Fremont city,53678362.223507956,202832449,26
French Gulch,French Gulch CDP,2371464.966337132,31940354,7.000000000000001
French Valley,French Valley CDP,23831178.66471614,28160802,85
Fresno,Fresno city,11660634.48107647,298304405,4
Friant,Friant CDP,2195455.1541025294,3239537,68
Fullerton,Fullerton city,1840781.7792417826,58065841,3
Fulton,Fulton CDP,860221.1345039157,5047023,17
Garberville,Garberville CDP,4454433.355974511,6940712,64
Garden Farms,Garden Farms CDP,2831738.5192961516,2831739,100
Garey,Garey CDP,610530.2821813048,3275825,19
Garnet,Garnet CDP,12232728.859580284,20419878,60
Gasquet,Gasquet CDP,3941337.071056031,12318649,32
Gazelle,Gazelle CDP,1580137.8473164244,1739436,91
Georgetown,Georgetown CDP,31682733.12572404,39182259,81
Geyserville,Geyserville CDP,8173368.96867049,11690104,70
Gilroy,Gilroy city,24619205.111527547,42826753,56.99999999999999
Glen Ellen,Glen Ellen CDP,3712825.241139241,5438518,68
Glendale,Glendale city,39298914.05962831,78940374,50
Glendora,Glendora city,23244108.382290244,50531742,46
Glennville,Glennville CDP,4240817.994055694,4889260,87
Gold Mountain,Gold Mountain CDP,3774735.848084204,15767571,24
Gold River,Gold River CDP,5262807.031493521,6884489,76
Golden Hills,Golden Hills CDP,25471862.894088622,28267176,90
Goleta,Goleta city,10627681.700556787,20339515,52
Gonzales,Gonzales city,309981.33856445656,4955568,6
Good Hope,Good Hope CDP,27680964.487625048,29096582,95
Goodmanville,Goodmanville CDP,1753841.682397127,1753841,100
Goodyears Bar,Goodyears Bar CDP,1537364.007489228,5309072,28.999999999999996
Goshen,Goshen CDP,19996.897823174342,7292689,0
Graeagle,Graeagle CDP,13184448.721850632,28666635,46
Grand Terrace,Grand Terrace city,8309604.856212803,9072646,92
Granite Bay,Granite Bay CDP,42468602.129483014,55810220,76
Granite Hills,Granite Hills CDP,6154006.303098214,7233804,85
Graniteville,Graniteville CDP,1050392.6119929624,3853000,27
Grass Valley,Grass Valley city,11099700.630634543,13594368,82
Graton,Graton CDP,3345496.9798770538,4090304,82
Greeley Hill,Greeley Hill CDP,29389465.46109543,61850758,48
Green Acres,Green Acres CDP,2959218.5716998787,3626865,82
Green Valley,Green Valley CDP,18856081.692100037,33175008,56.99999999999999
Greenfield,Greenfield city,593384.5819178702,7548415,8
Greenhorn,Greenhorn CDP,1711779.740884914,17381404,10
Greenview,Greenview CDP,3288316.8793173498,3354179,98
Greenville,Greenville CDP,13793518.709573638,20701558,67
Grenada,Grenada CDP,1301567.8935227655,1335962,97
Grizzly Flats,Grizzly Flats CDP,11232278.549635496,17168505,65
Groveland,Groveland CDP,10698195.900077464,24795516,43
Grover Beach,Grover Beach city,5241262.165784152,5988133,88
Guadalupe,Guadalupe city,1276264.598121791,3394103,38
Guerneville,Guerneville CDP,24402346.38788452,25147194,97
Guinda,Guinda CDP,5757935.043036083,7578139,76
Gustine,Gustine city,808542.7370827334,4017008,20
Hacienda Heights,Hacienda Heights CDP,17170319.52126845,28884485,59
Half Moon Bay,Half Moon Bay city,13862885.52569829,16167307,86
Hamilton Branch,Hamilton Branch CDP,2673460.043518376,2811184,95
Happy Camp,Happy Camp CDP,8827116.935147885,31357295,28.000000000000004
Happy Valley,Happy Valley CDP,37770476.399736635,43681146,86
Harbison Canyon,Harbison Canyon CDP,17018003.57866237,26085235,65
Harmony Grove,Harmony Grove CDP,5275976.462125682,7980769,66
Hartland,Hartland CDP,424360.2276769597,599099,71
Hartley,Hartley CDP,11200422.15883794,16763354,67
Hasley Canyon,Hasley Canyon CDP,8648330.898073722,14865474,57.99999999999999
Hat Creek,Hat Creek CDP,10935716.870262986,129532652,8
