FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,GIS_ACRES,STATEFP,PLACEFP,PLACE_FIPS,PLACE_NAME,PLACE_NAME_TYPE,COUNTYFP,CNTY_FIPS,CNTY_NAME,CNTY_NAME_TYPE,Shape_Length,Shape_Area
OLIVAS,82263,2019-10-11,2019-10-13,14,171.4182892,6,65042,665042,San Buenaventura (Ventura),San Buenaventura (Ventura) city,111,6111,Ventura,Ventura County,5347.260062,693705.2321
OAK,16101,2019-09-07,2019-09-10,2,53.1169586,6,38044,638044,Kelseyville,Kelseyville CDP,33,6033,Lake,Lake County,1788.011061,214956.7109
KINCADE,19376,2019-10-23,2019-11-10,11,77762.14063,6,85922,685922,Windsor,Windsor town,97,6097,Sonoma,Sonoma County,186114.8953,314692204.7
KINCADE,19376,2019-10-23,2019-11-10,11,77762.14063,6,85922,685922,Windsor,Windsor town,33,6033,Lake,Lake County,186114.8953,314692204.7
KINCADE,19376,2019-10-23,2019-11-10,11,77762.14063,6,29420,629420,Geyserville,Geyserville CDP,97,6097,Sonoma,Sonoma County,186114.8953,314692204.7
KINCADE,19376,2019-10-23,2019-11-10,11,77762.14063,6,29420,629420,Geyserville,Geyserville CDP,33,6033,Lake,Lake County,186114.8953,314692204.7
KINCADE,19376,2019-10-23,2019-11-10,11,77762.14063,6,40426,640426,Larkfield-Wikiup,Larkfield-Wikiup CDP,97,6097,Sonoma,Sonoma County,186114.8953,314692204.7
KINCADE,19376,2019-10-23,2019-11-10,11,77762.14063,6,40426,640426,Larkfield-Wikiup,Larkfield-Wikiup CDP,33,6033,Lake,Lake County,186114.8953,314692204.7
AMERICAN,18056,2019-10-06,2019-10-07,14,526.8578491,6,1640,601640,American Canyon,American Canyon city,55,6055,Napa,Napa County,6908.047426,2132118.191
AMERICAN,18056,2019-10-06,2019-10-07,14,526.8578491,6,1640,601640,American Canyon,American Canyon city,95,6095,Solano,Solano County,6908.047426,2132118.191
SAND,9880,2019-06-08,2019-06-13,1,2422.017578,6,63302,663302,Rumsey,Rumsey CDP,113,6113,Yolo,Yolo County,22660.0015,9801557.477
SAND,9880,2019-06-08,2019-06-13,1,2422.017578,6,63302,663302,Rumsey,Rumsey CDP,11,6011,Colusa,Colusa County,22660.0015,9801557.477
DEHESA 8,10859,2019-07-28,2019-08-02,14,141.9547729,6,17106,617106,Crest,Crest CDP,73,6073,San Diego,San Diego County,4201.811707,574470.5722
VISTA 5,10198,2019-07-17,2019-07-18,14,16.6955757,6,32044,632044,Harbison Canyon,Harbison Canyon CDP,73,6073,San Diego,San Diego County,1317.53,67564.59954
MILLER 2,15748,2019-10-25,2019-10-27,14,29.2604065,6,81736,681736,Valley Center,Valley Center CDP,73,6073,San Diego,San Diego County,2406.580173,118412.6664
COUNTRY,26999,2019-09-03,2019-09-03,14,85.5966873,6,3205,603205,Auburn Lake Trails,Auburn Lake Trails CDP,17,6017,El Dorado,El Dorado County,4248.675886,346397.4944
HILLS,7319,2019-05-29,2019-06-01,2,120.6404419,6,73794,673794,Squaw Valley,Squaw Valley CDP,19,6019,Fresno,Fresno County,3369.161223,488214.5517
BRYSON,15219,2019-10-15,2019-10-15,7,13.8421917,6,73794,673794,Squaw Valley,Squaw Valley CDP,19,6019,Fresno,Fresno County,1134.322168,56017.36388
KING,7484,2019-10-10,2019-10-10,11,8.2216024,6,8310,608310,Brisbane,Brisbane city,81,6081,San Mateo,San Mateo County,1042.34568,33271.64339
MOUNTAIN ,9030,2019-08-22,2019-08-26,14,493.2587891,6,37533,637533,Jones Valley,Jones Valley CDP,89,6089,Shasta,Shasta County,10992.49515,1996147.513
HORSE,7390,2019-07-12,2019-07-13,14,24.7556915,6,32036,632036,Happy Valley,Happy Valley CDP,89,6089,Shasta,Shasta County,2259.63377,100182.7259
GILBERT,8339,2019-08-04,2019-08-06,2,33.0921555,6,55296,655296,Palo Cedro,Palo Cedro CDP,89,6089,Shasta,Shasta County,3091.600813,133919.2026
PRESTON,9456,2019-08-08,2019-08-08,8,20.1660652,6,37106,637106,Jamestown,Jamestown CDP,109,6109,Tuolumne,Tuolumne County,1349.784733,81609.16997
HORSESHOE,118651,2019-09-04,2019-09-17,14,583.4398804,6,33182,633182,Hemet,Hemet city,65,6065,Riverside,Riverside County,10852.93902,2361097.379
