fips,name,name-cdp,total-housing-units,margin-of-error-total,owner-occupied-units,marin-of-error-owner,renter-occupied,margin-of-error-renter
1600000US0617288,Cromberg CDP,"Cromberg CDP, California",312,181,296,180,16,26
1600000US0617372,Crowley Lake CDP,"Crowley Lake CDP, California",1145,457,1015,436,130,125
1600000US0617428,Crows Landing CDP,"Crows Landing CDP, California",346,128,167,106,179,111
1600000US0617498,Cudahy city,"Cudahy city, California",23590,46,3621,717,19969,717
1600000US0617568,Culver City city,"Culver City city, California",38578,151,22211,1371,16367,1388
1600000US0617610,Cupertino city,"Cupertino city, California",59379,115,36002,1531,23377,1524
1600000US0617708,Cutler CDP,"Cutler CDP, California",5296,1139,2164,760,3132,1169
1600000US0617722,Cutten CDP,"Cutten CDP, California",3304,858,2338,656,966,615
1600000US0617727,Cuyama CDP,"Cuyama CDP, California",11,11,11,11,0,13
1600000US0617750,Cypress city,"Cypress city, California",48996,91,33935,1188,15061,1186
1600000US0617876,Dales CDP,"Dales CDP, California",0,13,0,13,0,13
1600000US0617918,Daly City city,"Daly City city, California",106371,136,65602,2241,40769,2227
1600000US0617946,Dana Point city,"Dana Point city, California",33646,62,20535,1339,13111,1339
1600000US0617988,Danville town,"Danville town, California",44809,80,38654,1065,6155,1065
1600000US0617995,Daphnedale Park CDP,"Daphnedale Park CDP, California",145,129,106,111,39,62
1600000US0618030,Darwin CDP,"Darwin CDP, California",90,65,90,65,0,13
1600000US0618086,Davenport CDP,"Davenport CDP, California",509,217,303,155,206,168
1600000US0618100,Davis city,"Davis city, California",66851,320,28954,1295,37897,1283
1600000US0618153,Day Valley CDP,"Day Valley CDP, California",3384,617,3128,613,256,190
1600000US0618324,Deer Park CDP,"Deer Park CDP, California",752,184,509,140,243,118
1600000US0618352,Del Aire CDP,"Del Aire CDP, California",10395,1235,7679,1197,2716,669
1600000US0618394,Delano city,"Delano city, California",44263,1134,26714,1927,17549,1860
1600000US0618422,Del Dios CDP,"Del Dios CDP, California",302,95,239,87,63,38
